128 16 13 12 12 11 
256 93 42 25 28 24 
512 131 60 54 54 54 
1024 254 148 154 126 123 
2048 300 302 514 316 247 
4096 662 766 588 656 539 
8188 1436 1467 7620 1409 1215 
9000 2218 1556 1533 1461 1301 
10000 2109 1772 1834 4894 1767 
14000 2782 3259 2152 3288 2318 
18000 3686 3376 3310 3404 3247 
20000 4148 3699 3699 3782 3645 
30000 7017 7693 5033 5380 5507 
40000 8427 8326 7878 8211 7077 
50000 12419 10878 9501 10277 10134 
60000 14229 13992 12568 11682 12125 
70000 17021 15624 12767 14604 14479 
80000 18642 19092 16127 15974 16278 
100000 25380 24138 19180 20218 20834 
130000 32913 31232 26427 27645 30460 
150000 36969 38509 33550 31295 29093 
170000 44119 42445 36322 35069 36578 
180000 45503 44064 38279 40390 35831 
200000 52891 49012 42592 43327 42269 
230000 59336 57379 48631 46750 48011 
250000 66007 63110 54423 52884 51586 
280000 73071 73367 61306 57109 63690 
300000 78729 77397 66448 64094 63518 
