128 16 14 40 11 21 
256 48 42 24 21 23 
512 128 138 52 69 51 
1024 199 200 128 206 113 
2048 386 379 488 279 253 
4096 850 666 619 726 551 
8188 2725 1858 1959 1464 1184 
9000 2532 1833 1789 1658 1484 
10000 2013 1891 1782 1921 1796 
14000 3153 3246 2534 2532 2501 
18000 3772 4321 2925 3159 3018 
20000 5477 4072 3371 3656 4003 
30000 7133 7047 5550 5761 5465 
40000 9446 9291 7745 8154 7755 
50000 11801 11916 10598 9877 10208 
60000 14358 14411 11779 11863 12181 
70000 17602 17270 13385 15237 14644 
80000 20919 19252 17292 16910 16969 
100000 24754 25223 20501 21571 21271 
130000 36060 33611 27151 27419 28577 
150000 42540 39021 32800 31476 32663 
170000 44205 45435 37872 36704 36751 
180000 49057 47592 40813 38678 42703 
200000 53592 52812 43884 44570 42627 
230000 63840 61994 50443 48947 49099 
250000 67776 67937 55929 55015 51658 
280000 80531 77850 63321 60626 59665 
300000 84282 83597 68662 63107 61253 
